"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2019,"Lisburn and Castlereagh","Construction","All",235,285,55,65,20,660
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","0",20,20,NA,NA,NA,50
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","1 to 9",30,75,15,15,NA,135
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","10 to 49",NA,NA,NA,10,NA,10
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Motor Trades","All",50,95,20,25,NA,195
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","0",25,10,NA,NA,NA,40
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","1 to 9",55,90,40,55,NA,250
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","10 to 49",NA,NA,NA,35,35,75
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Wholesale","All",85,100,50,95,45,370
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","0",20,15,5,NA,NA,45
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","1 to 9",50,125,25,25,NA,230
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","10 to 49",NA,5,10,25,5,50
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","50 to 249",NA,NA,NA,5,10,15
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Retail","All",75,145,45,60,15,340
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","0",40,5,NA,NA,NA,45
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","1 to 9",25,35,10,5,NA,75
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","All",65,45,10,15,5,135
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","0",10,10,NA,NA,NA,20
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","1 to 9",50,100,NA,NA,NA,155
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","10 to 49",NA,30,15,15,NA,60
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Accommodation & Food Services","All",60,135,15,20,NA,240
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","0",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","1 to 9",105,75,10,5,NA,195
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Information & Communication","All",105,80,15,10,5,215
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","0",30,NA,NA,NA,NA,30
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","1 to 9",25,30,10,NA,NA,60
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Finance & Insurance","All",55,30,10,NA,NA,100
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","0",65,10,NA,NA,NA,75
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","1 to 9",50,55,5,NA,NA,110
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Property","All",115,65,5,NA,NA,185
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","0",45,15,NA,NA,NA,65
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","1 to 9",155,220,15,10,NA,400
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","10 to 49",NA,NA,15,10,NA,25
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Professional, Scientific & Technical","All",205,240,30,20,NA,495
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","0",30,NA,NA,NA,NA,30
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","1 to 9",40,105,5,10,NA,165
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","10 to 49",NA,NA,5,10,5,30
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Business Administration and Support Services","All",75,115,15,30,10,235
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Public Administration and Defence","All",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","1 to 9",10,20,NA,NA,NA,35
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Education","All",15,20,NA,5,NA,45
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","1 to 9",45,85,5,NA,NA,135
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","10 to 49",NA,5,25,20,NA,50
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Health","All",55,95,30,25,10,210
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","0",25,5,NA,NA,NA,30
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","1 to 9",150,140,NA,NA,NA,290
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,10,5,NA,35
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","All",170,160,10,15,NA,360
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","0",880,230,20,10,NA,1150
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","1 to 9",1020,1615,255,185,10,3090
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","10 to 49",10,70,115,230,65,490
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","50 to 249",NA,NA,NA,40,55,100
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","250+",NA,NA,NA,NA,20,25
"Number of Businesses",2019,"Lisburn and Castlereagh","All Industries","All",1915,1920,395,465,160,4855
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","0",980,185,NA,NA,NA,1165
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","1 to 9",40,155,40,5,NA,240
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Agriculture, Forestry & Fishing","All",1020,340,45,10,NA,1415
"Number of Businesses",2019,"Mid and East Antrim","Production","0",35,5,NA,NA,NA,45
"Number of Businesses",2019,"Mid and East Antrim","Production","1 to 9",110,115,20,10,NA,255
"Number of Businesses",2019,"Mid and East Antrim","Production","10 to 49",NA,NA,10,35,10,55
"Number of Businesses",2019,"Mid and East Antrim","Production","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2019,"Mid and East Antrim","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Production","All",145,125,30,50,30,375
"Number of Businesses",2019,"Mid and East Antrim","Construction","0",130,55,NA,5,NA,195
"Number of Businesses",2019,"Mid and East Antrim","Construction","1 to 9",145,210,50,15,NA,420
"Number of Businesses",2019,"Mid and East Antrim","Construction","10 to 49",NA,NA,5,20,NA,30
"Number of Businesses",2019,"Mid and East Antrim","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2019,"Mid and East Antrim","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Construction","All",280,265,60,35,10,650
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","0",20,15,NA,5,NA,45
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","1 to 9",35,80,20,15,NA,155
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","10 to 49",NA,NA,NA,5,5,15
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Motor Trades","All",60,95,25,25,10,215
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","0",25,10,NA,NA,NA,40
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","1 to 9",25,45,25,25,5,125
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","10 to 49",NA,NA,NA,10,5,20
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","50 to 249",NA,NA,NA,NA,5,10
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Wholesale","All",50,55,30,35,20,190
"Number of Businesses",2019,"Mid and East Antrim","Retail","0",30,25,5,NA,NA,60
"Number of Businesses",2019,"Mid and East Antrim","Retail","1 to 9",50,150,35,20,NA,255
"Number of Businesses",2019,"Mid and East Antrim","Retail","10 to 49",NA,NA,10,35,NA,50
"Number of Businesses",2019,"Mid and East Antrim","Retail","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid and East Antrim","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Retail","All",80,175,55,60,10,380
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","0",20,10,NA,NA,NA,30
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","1 to 9",30,40,10,NA,NA,80
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,NA,NA,15
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Transport & Storage (inc Postal)","All",50,50,15,5,10,130
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","0",10,10,NA,NA,NA,20
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","1 to 9",65,130,NA,NA,NA,195
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","10 to 49",NA,35,15,10,NA,60
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Accommodation & Food Services","All",75,175,20,15,NA,285
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","0",5,NA,NA,NA,NA,10
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","1 to 9",40,35,NA,NA,NA,75
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Information & Communication","All",45,35,NA,NA,NA,85
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","0",10,NA,NA,NA,NA,15
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","1 to 9",10,15,5,NA,NA,35
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Finance & Insurance","All",25,15,5,10,NA,55
"Number of Businesses",2019,"Mid and East Antrim","Property","0",30,10,NA,NA,NA,40
"Number of Businesses",2019,"Mid and East Antrim","Property","1 to 9",40,45,NA,NA,NA,90
"Number of Businesses",2019,"Mid and East Antrim","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Property","All",70,55,5,5,NA,135
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","0",30,15,NA,NA,NA,40
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","1 to 9",125,120,5,10,NA,255
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","10 to 49",NA,NA,10,10,NA,20
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Professional, Scientific & Technical","All",150,135,15,15,NA,315
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","0",25,10,NA,NA,NA,35
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","1 to 9",50,60,5,NA,NA,120
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Business Administration and Support Services","All",75,75,10,NA,NA,165
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Education","1 to 9",10,20,NA,NA,NA,30
"Number of Businesses",2019,"Mid and East Antrim","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid and East Antrim","Education","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid and East Antrim","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Education","All",15,20,NA,5,NA,50
"Number of Businesses",2019,"Mid and East Antrim","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Health","1 to 9",20,75,15,NA,NA,110
"Number of Businesses",2019,"Mid and East Antrim","Health","10 to 49",NA,NA,15,20,NA,40
"Number of Businesses",2019,"Mid and East Antrim","Health","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2019,"Mid and East Antrim","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Health","All",25,80,30,25,NA,160
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","0",30,5,NA,NA,NA,40
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","1 to 9",150,115,NA,NA,NA,270
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","10 to 49",5,15,5,NA,NA,30
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","All",185,140,10,NA,NA,340
"Number of Businesses",2019,"Mid and East Antrim","All Industries","0",1390,355,15,15,NA,1780
"Number of Businesses",2019,"Mid and East Antrim","All Industries","1 to 9",955,1405,250,110,5,2720
"Number of Businesses",2019,"Mid and East Antrim","All Industries","10 to 49",10,70,90,165,35,365
"Number of Businesses",2019,"Mid and East Antrim","All Industries","50 to 249",NA,NA,NA,20,50,70
"Number of Businesses",2019,"Mid and East Antrim","All Industries","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid and East Antrim","All Industries","All",2355,1830,355,310,100,4950
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","0",2260,350,NA,NA,NA,2610
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","1 to 9",105,395,100,35,NA,635
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","10 to 49",NA,NA,10,15,NA,25
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Agriculture, Forestry & Fishing","All",2365,745,110,50,NA,3275
"Number of Businesses",2019,"Mid Ulster","Production","0",85,30,NA,NA,NA,120
"Number of Businesses",2019,"Mid Ulster","Production","1 to 9",160,265,60,30,NA,510
"Number of Businesses",2019,"Mid Ulster","Production","10 to 49",NA,5,25,90,15,135
"Number of Businesses",2019,"Mid Ulster","Production","50 to 249",NA,NA,NA,5,45,50
"Number of Businesses",2019,"Mid Ulster","Production","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid Ulster","Production","All",245,300,85,125,70,825
"Number of Businesses",2019,"Mid Ulster","Construction","0",355,130,10,NA,NA,500
"Number of Businesses",2019,"Mid Ulster","Construction","1 to 9",295,425,95,95,5,910
"Number of Businesses",2019,"Mid Ulster","Construction","10 to 49",NA,5,10,55,15,85
"Number of Businesses",2019,"Mid Ulster","Construction","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid Ulster","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Construction","All",650,560,115,150,35,1510
"Number of Businesses",2019,"Mid Ulster","Motor Trades","0",45,25,10,NA,NA,85
"Number of Businesses",2019,"Mid Ulster","Motor Trades","1 to 9",45,110,30,30,5,220
"Number of Businesses",2019,"Mid Ulster","Motor Trades","10 to 49",NA,NA,NA,10,10,20
"Number of Businesses",2019,"Mid Ulster","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Motor Trades","All",95,135,35,45,20,330
"Number of Businesses",2019,"Mid Ulster","Wholesale","0",35,25,NA,NA,NA,65
"Number of Businesses",2019,"Mid Ulster","Wholesale","1 to 9",30,80,35,50,10,205
"Number of Businesses",2019,"Mid Ulster","Wholesale","10 to 49",NA,NA,NA,25,15,40
"Number of Businesses",2019,"Mid Ulster","Wholesale","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid Ulster","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Wholesale","All",65,110,35,80,30,315
"Number of Businesses",2019,"Mid Ulster","Retail","0",50,40,NA,NA,NA,95
"Number of Businesses",2019,"Mid Ulster","Retail","1 to 9",75,205,60,45,NA,385
"Number of Businesses",2019,"Mid Ulster","Retail","10 to 49",NA,NA,20,50,NA,75
"Number of Businesses",2019,"Mid Ulster","Retail","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2019,"Mid Ulster","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Retail","All",130,245,80,95,20,570
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","0",60,40,NA,NA,NA,105
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","1 to 9",50,95,30,5,NA,180
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","10 to 49",NA,5,5,15,NA,30
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Transport & Storage (inc Postal)","All",110,140,40,25,NA,320
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","0",15,20,NA,NA,NA,40
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","1 to 9",70,125,NA,NA,NA,200
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","10 to 49",NA,25,20,10,NA,55
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Accommodation & Food Services","All",85,175,25,25,NA,305
"Number of Businesses",2019,"Mid Ulster","Information & Communication","0",5,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Information & Communication","1 to 9",35,35,NA,NA,NA,70
"Number of Businesses",2019,"Mid Ulster","Information & Communication","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2019,"Mid Ulster","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Information & Communication","All",40,35,NA,NA,NA,85
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","0",35,NA,NA,NA,NA,40
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","1 to 9",5,30,10,5,NA,55
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Finance & Insurance","All",40,35,10,10,NA,100
"Number of Businesses",2019,"Mid Ulster","Property","0",60,10,NA,NA,NA,70
"Number of Businesses",2019,"Mid Ulster","Property","1 to 9",60,55,10,5,NA,135
"Number of Businesses",2019,"Mid Ulster","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Property","All",120,65,10,5,NA,210
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","0",45,20,NA,NA,NA,70
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","1 to 9",120,165,20,NA,NA,315
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","10 to 49",NA,5,10,5,NA,20
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2019,"Mid Ulster","Professional, Scientific & Technical","All",165,195,30,10,NA,405
