"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Tonnage","2022Q2","Warrenpoint","Outwards",21.50574555,39.56896095,0,0,380.432285,0.041,441.5479915
"Tonnage","2022Q3","Belfast","Inwards",64.068167,891.363208,380.0008638,247.3530954,910.9234744,8.140022491,2501.848831
"Tonnage","2022Q3","Belfast","Outwards",8.597554303,585.3899625,0,190.956753,1002.084709,0.149085106,1787.178064
"Tonnage","2022Q3","Kilroot Power Station Jetty","Inwards",0,57.61599548,12.063,0,0,0,69.67899548
"Tonnage","2022Q3","Kilroot Power Station Jetty","Outwards",0,6.555286963,0,0,0,0,6.555286963
"Tonnage","2022Q3","Larne","Inwards",3.832,6.039353148,0.926928403,0,525.339,1.069,537.2062816
"Tonnage","2022Q3","Larne","Outwards",0,2.354819846,0,0,448.468,0.006,450.8288198
"Tonnage","2022Q3","Londonderry","Inwards",27.44789123,229.0924662,179.7115453,0,0,0,436.2519027
"Tonnage","2022Q3","Londonderry","Outwards",9.907919228,38.66202036,0,0,0,0,48.56993959
"Tonnage","2022Q3","Warrenpoint","Inwards",50.87389444,36.83366387,7.79159003,0,216.9356997,0,312.4348481
"Tonnage","2022Q3","Warrenpoint","Outwards",23.25546048,44.76777518,0,0,292.7104357,0,360.7336713
"Tonnage","2022Q4","Belfast","Inwards",65.44869713,907.8258501,513.7031251,220.1748041,960.3357744,8.430094564,2675.918345
"Tonnage","2022Q4","Belfast","Outwards",2.068586182,555.4862814,0,195.8061615,1032.3136,0.104460993,1785.77909
"Tonnage","2022Q4","Kilroot Power Station Jetty","Inwards",0,103.1535919,0,0,0,0,103.1535919
"Tonnage","2022Q4","Kilroot Power Station Jetty","Outwards",0,3.54624524,0,0,0,0,3.54624524
"Tonnage","2022Q4","Larne","Inwards",0,4.911646852,1.103356622,0,515.172,1.115,522.3020035
"Tonnage","2022Q4","Larne","Outwards",0,0,0,0,438.124,0.011,438.135
"Tonnage","2022Q4","Londonderry","Inwards",14.28120011,273.7241398,216.106903,0,0,0,504.1122429
"Tonnage","2022Q4","Londonderry","Outwards",4.667433869,33.490873,0,0,0,0,38.15830686
"Tonnage","2022Q4","Warrenpoint","Inwards",44.1260995,62.73387509,4.611476411,0,235.1965366,0,346.6679876
"Tonnage","2022Q4","Warrenpoint","Outwards",52.64145957,43.71391766,0,0,313.2640423,0,409.6194195
"Tonnage","2023Q1","Belfast","Inwards",87.7284244,841.6309527,490.7152876,209.1721404,945.16342,9.945774927,2584.356
"Tonnage","2023Q1","Belfast","Outwards",12.22477997,533.9211089,0,183.5235062,1108.183122,0.190483402,1838.043
"Tonnage","2023Q1","Kilroot Power Station Jetty","Inwards",0,10.315,0,0,0,0,10.315
"Tonnage","2023Q1","Kilroot Power Station Jetty","Outwards",0,1.885,0,0,0,0,1.885
"Tonnage","2023Q1","Larne","Inwards",0,2.619915295,0.801974071,0,521.199149,1.185961656,525.807
"Tonnage","2023Q1","Larne","Outwards",0,0,0,0,446.726,0.005000011,446.731
"Tonnage","2023Q1","Londonderry","Inwards",23.83897897,278.7592115,65.67980957,0,0,0,368.278
"Tonnage","2023Q1","Londonderry","Outwards",4.845289832,19.88571017,0,0,0,0,24.731
"Tonnage","2023Q1","Warrenpoint","Inwards",68.38131175,49.67360038,7.097389658,0,216.5824242,7.327274028,349.062
