"Statistic","Year","Northern Ireland"
"Plaice",2020,17.373
"Plaice",2021,10.841
"Plaice",2022,6.268
"Plaice",2023,3.51
"Pollack",2016,60.531
"Pollack",2017,45.3
"Pollack",2018,69.626
"Pollack",2019,37.205
"Pollack",2020,21.937
"Pollack",2021,11.813
"Pollack",2022,4.804
"Pollack",2023,0.78
"Pouting (Bib)",2016,NA
"Pouting (Bib)",2017,NA
"Pouting (Bib)",2018,0.06
"Pouting (Bib)",2019,NA
"Pouting (Bib)",2020,NA
"Pouting (Bib)",2021,NA
"Pouting (Bib)",2022,NA
"Pouting (Bib)",2023,NA
"Queen Scallops",2016,323.983
"Queen Scallops",2017,138.708
"Queen Scallops",2018,195.517
"Queen Scallops",2019,25.138
"Queen Scallops",2020,4.26
"Queen Scallops",2021,52.468
"Queen Scallops",2022,81.594
"Queen Scallops",2023,91.95
"Razor Clam",2016,10.786
"Razor Clam",2017,NA
"Razor Clam",2018,NA
"Razor Clam",2019,NA
"Razor Clam",2020,NA
"Razor Clam",2021,NA
"Razor Clam",2022,0.302
"Razor Clam",2023,NA
"Redfishes",2016,NA
"Redfishes",2017,NA
"Redfishes",2018,NA
"Redfishes",2019,0.11
"Redfishes",2020,NA
"Redfishes",2021,NA
"Redfishes",2022,NA
"Redfishes",2023,NA
"Red Mullet",2016,0.039
"Red Mullet",2017,0.152
"Red Mullet",2018,0.078
"Red Mullet",2019,NA
"Red Mullet",2020,NA
"Red Mullet",2021,NA
"Red Mullet",2022,NA
"Red Mullet",2023,0.03
"Roes",2016,0
"Roes",2017,NA
"Roes",2018,NA
"Roes",2019,0
"Roes",2020,0
"Roes",2021,NA
"Roes",2022,NA
"Roes",2023,NA
"Saithe",2016,11.353
"Saithe",2017,8.399
"Saithe",2018,23.677
"Saithe",2019,11.615
"Saithe",2020,5.945
"Saithe",2021,2.862
"Saithe",2022,1.363
"Saithe",2023,0.1
"Sandy Ray",2016,NA
"Sandy Ray",2017,NA
"Sandy Ray",2018,NA
"Sandy Ray",2019,NA
"Sandy Ray",2020,NA
"Sandy Ray",2021,NA
"Sandy Ray",2022,NA
"Sandy Ray",2023,0.01
"Scallops",2016,1290.717
"Scallops",2017,1021.073
"Scallops",2018,774.082
"Scallops",2019,524.562
"Scallops",2020,438.377
"Scallops",2021,800.571
"Scallops",2022,697.072
"Scallops",2023,806.03
"Sea Breams",2016,NA
"Sea Breams",2017,NA
"Sea Breams",2018,NA
"Sea Breams",2019,NA
"Sea Breams",2020,NA
"Sea Breams",2021,NA
"Sea Breams",2022,NA
"Sea Breams",2023,0.002
"Sea Urchin",2016,0.008
"Sea Urchin",2017,0.008
"Sea Urchin",2018,0.01
"Sea Urchin",2019,NA
"Sea Urchin",2020,NA
"Sea Urchin",2021,NA
"Sea Urchin",2022,NA
"Sea Urchin",2023,NA
"Skates and Rays",2016,0.011
"Skates and Rays",2017,0.037
"Skates and Rays",2018,1.243
"Skates and Rays",2019,0.023
"Skates and Rays",2020,NA
"Skates and Rays",2021,NA
"Skates and Rays",2022,0.51
"Skates and Rays",2023,5.85
"Shrimps - Pink (Northern prawn)",2016,NA
"Shrimps - Pink (Northern prawn)",2017,NA
"Shrimps - Pink (Northern prawn)",2018,NA
"Shrimps - Pink (Northern prawn)",2019,0.026
"Shrimps - Pink (Northern prawn)",2020,NA
"Shrimps - Pink (Northern prawn)",2021,NA
"Shrimps - Pink (Northern prawn)",2022,NA
"Shrimps - Pink (Northern prawn)",2023,NA
"Sole",2016,3.111
"Sole",2017,2.006
"Sole",2018,2.59
"Sole",2019,6.792
"Sole",2020,10.406
"Sole",2021,19.256
"Sole",2022,13.802
"Sole",2023,12.52
"Spider Crabs",2016,0.006
"Spider Crabs",2017,NA
"Spider Crabs",2018,NA
"Spider Crabs",2019,0.001
"Spider Crabs",2020,NA
"Spider Crabs",2021,NA
"Spider Crabs",2022,NA
"Spider Crabs",2023,NA
"Spotted Ray",2016,NA
"Spotted Ray",2017,0.113
"Spotted Ray",2018,NA
"Spotted Ray",2019,NA
"Spotted Ray",2020,NA
"Spotted Ray",2021,NA
"Spotted Ray",2022,NA
"Spotted Ray",2023,0.69
"Sprats",2016,NA
"Sprats",2017,NA
"Sprats",2018,NA
"Sprats",2019,NA
"Sprats",2020,NA
"Sprats",2021,NA
"Sprats",2022,1.751
"Sprats",2023,9.8
"Spurdog",2016,NA
"Spurdog",2017,NA
"Spurdog",2018,NA
"Spurdog",2019,NA
"Spurdog",2020,NA
"Spurdog",2021,NA
"Spurdog",2022,NA
"Spurdog",2023,40.37
"Squid",2016,2.61
"Squid",2017,4.309
"Squid",2018,4.19
"Squid",2019,3.378
"Squid",2020,1.173
"Squid",2021,0.212
"Squid",2022,4.786
"Squid",2023,8.8
"SURMULLET",2016,NA
"SURMULLET",2017,NA
"SURMULLET",2018,NA
"SURMULLET",2019,2e-04
"SURMULLET",2020,0.135
"SURMULLET",2021,0.469
"SURMULLET",2022,0.433
"SURMULLET",2023,1.35
"Torsk (Tusk)",2016,NA
"Torsk (Tusk)",2017,NA
"Torsk (Tusk)",2018,0.244
"Torsk (Tusk)",2019,NA
