"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2013/14","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",149,1151,1300
"Number of school leavers","2013/14","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",222,1482,1704
"Number of school leavers","2013/14","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",285,1657,1942
"Number of school leavers","2013/14","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",520,2147,2667
"Number of school leavers","2013/14","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",292,1736,2028
"Number of school leavers","2013/14","Belfast","Total leavers",957,2555,3512
"Number of school leavers","2013/14","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",41,543,584
"Number of school leavers","2013/14","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",61,761,822
"Number of school leavers","2013/14","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",80,847,927
"Number of school leavers","2013/14","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",181,1288,1469
"Number of school leavers","2013/14","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",109,1031,1140
"Number of school leavers","2013/14","Causeway Coast and Glens","Total leavers",304,1472,1776
"Number of school leavers","2013/14","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",105,669,774
"Number of school leavers","2013/14","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",212,905,1117
"Number of school leavers","2013/14","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",244,983,1227
"Number of school leavers","2013/14","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",401,1287,1688
"Number of school leavers","2013/14","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",244,1052,1296
"Number of school leavers","2013/14","Derry City and Strabane","Total leavers",661,1548,2209
"Number of school leavers","2013/14","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",60,608,668
"Number of school leavers","2013/14","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",96,802,898
"Number of school leavers","2013/14","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",113,878,991
"Number of school leavers","2013/14","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",166,1106,1272
"Number of school leavers","2013/14","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",112,963,1075
"Number of school leavers","2013/14","Fermanagh and Omagh","Total leavers",244,1275,1519
"Number of school leavers","2013/14","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17,692,709
"Number of school leavers","2013/14","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26,951,977
"Number of school leavers","2013/14","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36,1028,1064
"Number of school leavers","2013/14","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75,1321,1396
