"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Percentage of school leavers","2013/14","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",13.5,36.9,32.9
"Percentage of school leavers","2013/14","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",20.1,51.7,46.3
"Percentage of school leavers","2013/14","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",26.3,57.5,52.2
"Percentage of school leavers","2013/14","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",59.5,87.5,82.7
"Percentage of school leavers","2013/14","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",35.9,70,64.2
"Percentage of school leavers","2013/14","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",15.9,43.2,35
"Percentage of school leavers","2013/14","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.1,58.5,50.6
"Percentage of school leavers","2013/14","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.9,63.5,55.5
"Percentage of school leavers","2013/14","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",60.7,83.1,76.4
"Percentage of school leavers","2013/14","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",36.9,68,58.7
"Percentage of school leavers","2013/14","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.6,47.7,44
"Percentage of school leavers","2013/14","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",39.3,62.9,59.1
"Percentage of school leavers","2013/14","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",46.3,68.9,65.2
"Percentage of school leavers","2013/14","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",68,86.7,83.7
"Percentage of school leavers","2013/14","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",45.9,75.5,70.8
"Percentage of school leavers","2013/14","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",11.8,45.7,42.8
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",18.1,62.9,59
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",25,67.9,64.2
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",52.1,87.3,84.2
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",32.6,78.8,74.8
"Percentage of school leavers","2013/14","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",13.3,42.9,39.4
"Percentage of school leavers","2013/14","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",22.9,59.1,54.8
"Percentage of school leavers","2013/14","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.7,62.4,58.3
"Percentage of school leavers","2013/14","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",58.5,85.1,82
"Percentage of school leavers","2013/14","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",32.4,71.5,66.9
"Percentage of school leavers","2013/14","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",22.4,42.8,39.2
"Percentage of school leavers","2013/14","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29,55.6,50.9
"Percentage of school leavers","2013/14","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.6,59.8,54.9
"Percentage of school leavers","2013/14","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",58.3,81.7,77.6
"Percentage of school leavers","2013/14","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",35.3,66.8,61.2
"Percentage of school leavers","2013/14","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.1,42.2,38.4
"Percentage of school leavers","2013/14","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29.6,57.7,52.6
"Percentage of school leavers","2013/14","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.9,62,56.8
"Percentage of school leavers","2013/14","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",52.3,82.7,77.2
"Percentage of school leavers","2013/14","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",39.9,70.7,65.1
"Percentage of school leavers","2013/14","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",12.6,37.1,34.5
"Percentage of school leavers","2013/14","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",19.7,54.9,51.3
"Percentage of school leavers","2013/14","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",23,60.6,56.7
"Percentage of school leavers","2013/14","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",47.5,80,76.6
"Percentage of school leavers","2013/14","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",29.5,68.8,64.7
"Percentage of school leavers","2013/14","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2013/14","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.6,41.4,37
"Percentage of school leavers","2013/14","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26,56.2,50.8
"Percentage of school leavers","2013/14","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",31,61.1,55.7
"Percentage of school leavers","2013/14","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",56.6,83.4,78.6
"Percentage of school leavers","2013/14","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",34.9,69.7,63.5
"Percentage of school leavers","2013/14","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",14.1,39.9,36.1
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",21.8,55.2,50.3
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",26.9,60,55.2
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",58.1,84.9,80.9
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",35.5,72.2,66.8
"Percentage of school leavers","2014/15","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.4,40.8,35.6
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.2,55.2,48.6
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.3,59,52.2
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",64.8,85.5,81.1
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.4,74.9,68.1
"Percentage of school leavers","2014/15","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.6,49,39
"Percentage of school leavers","2014/15","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29.7,64.3,52.5
"Percentage of school leavers","2014/15","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.2,71.3,59.7
"Percentage of school leavers","2014/15","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",62.7,87.7,79.2
"Percentage of school leavers","2014/15","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",35.5,72.9,60.2
"Percentage of school leavers","2014/15","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",12.1,36.1,30.1
"Percentage of school leavers","2014/15","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",21.1,51.3,43.7
"Percentage of school leavers","2014/15","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30.4,56.7,50.1
"Percentage of school leavers","2014/15","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",70.3,86.3,82.3
"Percentage of school leavers","2014/15","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",40.1,68.3,61.3
"Percentage of school leavers","2014/15","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.5,49.5,38.4
"Percentage of school leavers","2014/15","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",30,63.6,51.1
"Percentage of school leavers","2014/15","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.4,71,58.9
"Percentage of school leavers","2014/15","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",70.5,88.8,82
"Percentage of school leavers","2014/15","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.4,75,63.2
"Percentage of school leavers","2014/15","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.8,45.4,40.6
"Percentage of school leavers","2014/15","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.2,63.1,56.4
"Percentage of school leavers","2014/15","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42.5,67.7,61.9
"Percentage of school leavers","2014/15","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",67.8,86.8,82.4
"Percentage of school leavers","2014/15","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",48.1,75.8,69.3
"Percentage of school leavers","2014/15","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",15.9,48.7,45.2
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29,64.3,60.5
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",33.5,68.9,65.1
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",63.1,88.6,85.8
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",42.6,77.4,73.6
"Percentage of school leavers","2014/15","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",14.3,43.6,39.2
"Percentage of school leavers","2014/15","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27.8,58.6,54
"Percentage of school leavers","2014/15","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.9,61.6,57.3
"Percentage of school leavers","2014/15","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",63.5,85.4,82.1
"Percentage of school leavers","2014/15","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",40.9,72.4,67.7
"Percentage of school leavers","2014/15","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.9,43.4,38.9
"Percentage of school leavers","2014/15","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.4,57.1,51.4
"Percentage of school leavers","2014/15","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.9,61.2,55.8
"Percentage of school leavers","2014/15","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",68.3,86,81.7
"Percentage of school leavers","2014/15","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",46,72.9,66.4
"Percentage of school leavers","2014/15","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.6,46,39.6
"Percentage of school leavers","2014/15","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",35.7,63.6,56.6
"Percentage of school leavers","2014/15","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.8,67.8,61
"Percentage of school leavers","2014/15","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",64.5,85.5,80.2
"Percentage of school leavers","2014/15","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",48.3,76.2,69.2
"Percentage of school leavers","2014/15","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",11,43.2,38.2
"Percentage of school leavers","2014/15","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",18.2,57.9,51.8
"Percentage of school leavers","2014/15","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",23.9,63.2,57.2
"Percentage of school leavers","2014/15","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",43.6,82.9,76.9
"Percentage of school leavers","2014/15","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",31.4,73.1,66.7
"Percentage of school leavers","2014/15","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2014/15","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",18.5,44.4,38.2
"Percentage of school leavers","2014/15","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",28.8,59.7,52.4
"Percentage of school leavers","2014/15","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",35.3,64.7,57.7
"Percentage of school leavers","2014/15","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",64.6,86.2,81.1
"Percentage of school leavers","2014/15","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",41.3,73.7,66
"Percentage of school leavers","2014/15","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.8,42.4,37.8
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24,56.4,50.6
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",28,60.7,54.8
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",54.3,84.9,79.4
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",34.2,73.3,66.3
"Percentage of school leavers","2015/16","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",14.4,37.9,32.3
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",23.9,51.8,45.2
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",28.4,55.6,49.1
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",59.5,84,78.2
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.6,74.1,66.8
"Percentage of school leavers","2015/16","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.3,49.1,38.6
"Percentage of school leavers","2015/16","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33,63.5,52
"Percentage of school leavers","2015/16","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.4,69.5,58.5
"Percentage of school leavers","2015/16","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",67.5,86,79
"Percentage of school leavers","2015/16","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",41.5,73.8,61.5
"Percentage of school leavers","2015/16","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",18.1,42.2,36.3
"Percentage of school leavers","2015/16","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26,57.1,49.5
"Percentage of school leavers","2015/16","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30.3,60.9,53.4
"Percentage of school leavers","2015/16","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",69.7,89.3,84.5
"Percentage of school leavers","2015/16","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44.3,75.7,68
"Percentage of school leavers","2015/16","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.4,50.3,38.7
"Percentage of school leavers","2015/16","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",35.1,68.9,55.8
"Percentage of school leavers","2015/16","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39,73.3,60
"Percentage of school leavers","2015/16","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",67.4,90.5,81.5
"Percentage of school leavers","2015/16","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47.2,81.4,68.2
"Percentage of school leavers","2015/16","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.3,46.8,40.9
"Percentage of school leavers","2015/16","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",35.9,63.2,55.7
"Percentage of school leavers","2015/16","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",41.8,69,61.5
"Percentage of school leavers","2015/16","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",64.1,87.8,81.3
"Percentage of school leavers","2015/16","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",50.5,76.9,69.6
"Percentage of school leavers","2015/16","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.1,47.8,43.7
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",29.6,65.4,60.4
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",34.8,69,64.2
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",73,89.5,87.2
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",51.7,82.2,77.9
"Percentage of school leavers","2015/16","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.6,43,38.1
"Percentage of school leavers","2015/16","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.6,57.4,51.3
"Percentage of school leavers","2015/16","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30.1,61.7,55.8
"Percentage of school leavers","2015/16","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",62.6,85.8,81.5
"Percentage of school leavers","2015/16","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44.3,73.9,68.4
"Percentage of school leavers","2015/16","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25,46.1,40.5
"Percentage of school leavers","2015/16","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",37.7,59.7,53.8
"Percentage of school leavers","2015/16","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42.1,64.3,58.4
"Percentage of school leavers","2015/16","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",72.3,90.2,85.4
"Percentage of school leavers","2015/16","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",48.9,72.2,66
"Percentage of school leavers","2015/16","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.7,46.8,39.8
"Percentage of school leavers","2015/16","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.7,61.7,53.9
"Percentage of school leavers","2015/16","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",39.8,66.7,59.4
"Percentage of school leavers","2015/16","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",68.2,88,82.7
"Percentage of school leavers","2015/16","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47.9,77.2,69.3
"Percentage of school leavers","2015/16","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",18.7,44,39.9
"Percentage of school leavers","2015/16","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",26.8,58.4,53.3
"Percentage of school leavers","2015/16","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.4,63.8,58.7
"Percentage of school leavers","2015/16","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",59.9,86.9,82.5
"Percentage of school leavers","2015/16","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.7,76.8,71.4
"Percentage of school leavers","2015/16","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2015/16","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20,45,38.4
"Percentage of school leavers","2015/16","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",31,60.1,52.4
"Percentage of school leavers","2015/16","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.6,64.7,57.3
"Percentage of school leavers","2015/16","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",66,87.3,81.7
"Percentage of school leavers","2015/16","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44.8,75.8,67.7
"Percentage of school leavers","2015/16","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.4,46,41.1
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27,61,54.5
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.3,64.1,58
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",61.8,87.4,82.5
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.2,76.1,69.8
"Percentage of school leavers","2016/17","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16.5,42.4,36.5
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.8,56.2,49.1
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.7,59.5,52.3
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",63,86.8,81.4
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47.2,76.8,70.1
"Percentage of school leavers","2016/17","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23.1,50.7,40.1
